soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,253,0.0,427.5391052434009,4.242640687119286,0.0,0.0
C2003,354,0.0,837.634559672906,0.0,0.0,0.0
C2609,484,0.0,3362.278354061801,66.63961030678928,0.0,0.0
C2803,458,0.0,2070.666088965482,30.45584412271571,0.0,0.0
C5608,456,0.0,2294.460028204822,30.45584412271571,0.0,0.0
C6405,432,0.0,1778.0214280248092,27.041630560342618,0.0,0.0
S1510,403,0.0,1318.315800540038,32.87005768508881,0.0,0.0
S1919,396,0.0,1334.5168106668145,2.8284271247461903,0.0,0.0
S2307,454,0.0,2431.050865276332,23.62741699796952,0.0,0.0
S2403,434,0.0,1968.1513703397204,37.76955262170047,0.0,0.0
S3117,470,0.0,3024.165655689593,86.88225099390857,0.0,0.0
S3603,440,0.0,1741.1097397793778,44.76955262170048,0.0,0.0
